date,average_price,PLU4046,PLU4225,PLU4770,amount_from_small_bags,amount_from_large_bags,amount_from_xlarge_bags,type,year,region_grouping,region,total_consumption
12/27/2015,1.33,1037,54455,48,8604,93,0,conventional,2015,city,Albany,64237
12/20/2015,1.35,674,44639,58,9408,97,0,conventional,2015,city,Albany,54876
12/13/2015,0.93,795,109150,130,8042,103,0,conventional,2015,city,Albany,118220
12/6/2015,1.08,1132,71976,73,5677,134,0,conventional,2015,city,Albany,78992
11/29/2015,1.28,941,43838,76,5986,198,0,conventional,2015,city,Albany,51039
11/22/2015,1.26,1184,48068,44,6556,127,0,conventional,2015,city,Albany,55979
11/15/2015,0.99,1369,73673,93,8197,122,0,conventional,2015,city,Albany,83454
11/8/2015,0.98,704,101815,80,6267,562,0,conventional,2015,city,Albany,109428
11/1/2015,1.02,1022,87316,85,11105,284,0,conventional,2015,city,Albany,99812
10/25/2015,1.07,842,64757,113,8061,564,0,conventional,2015,city,Albany,74337
10/18/2015,1.12,925,75596,117,7878,328,0,conventional,2015,city,Albany,84844
10/11/2015,1.28,1582,52678,105,9866,258,0,conventional,2015,city,Albany,64489
10/4/2015,1.31,2268,49881,101,8380,377,0,conventional,2015,city,Albany,61007
9/27/2015,0.99,1205,99409,155,5889,146,0,conventional,2015,city,Albany,106804
9/20/2015,1.33,1028,59313,150,8489,778,0,conventional,2015,city,Albany,69758
9/13/2015,1.28,986,65697,142,8665,621,0,conventional,2015,city,Albany,76111
9/6/2015,1.11,879,90063,241,7763,227,0,conventional,2015,city,Albany,99173
8/30/2015,1.07,689,94363,335,10219,88,0,conventional,2015,city,Albany,105694
8/23/2015,1.34,733,67934,445,10746,135,0,conventional,2015,city,Albany,79993
8/16/2015,1.33,540,68666,395,10298,146,0,conventional,2015,city,Albany,80045
8/9/2015,1.12,585,100961,369,9116,110,0,conventional,2015,city,Albany,111141
8/2/2015,1.45,510,62035,741,11769,78,0,conventional,2015,city,Albany,75133
7/26/2015,1.11,649,91949,967,13062,131,0,conventional,2015,city,Albany,106758
7/19/2015,1.26,1042,82049,2238,11103,184,0,conventional,2015,city,Albany,96616
7/12/2015,1.05,672,94694,4258,24290,108,33,conventional,2015,city,Albany,124055
7/5/2015,1.35,869,72601,5883,29663,236,0,conventional,2015,city,Albany,109252
6/28/2015,1.37,664,57546,4663,26312,350,0,conventional,2015,city,Albany,89535
6/21/2015,1.27,804,76689,5481,21662,214,0,conventional,2015,city,Albany,104850
6/14/2015,1.32,851,55401,4377,28343,659,0,conventional,2015,city,Albany,89631
6/7/2015,1.07,657,99221,90,22315,460,0,conventional,2015,city,Albany,122743
5/31/2015,1.23,922,70470,51,23222,459,0,conventional,2015,city,Albany,95124
5/24/2015,1.19,680,71377,59,28762,593,0,conventional,2015,city,Albany,101471
5/17/2015,1.43,1151,81955,94,26285,372,0,conventional,2015,city,Albany,109857
5/10/2015,1.26,1420,102001,186,16536,286,0,conventional,2015,city,Albany,120429
5/3/2015,1.2,920,45490,217,12202,369,0,conventional,2015,city,Albany,59198
4/26/2015,1.22,876,35842,90,12077,702,0,conventional,2015,city,Albany,49587
4/19/2015,1.19,774,33942,47,13603,699,0,conventional,2015,city,Albany,49065
4/12/2015,1.13,864,30374,22,16438,666,0,conventional,2015,city,Albany,48364
4/5/2015,1.16,962,35578,94,9869,756,104,conventional,2015,city,Albany,47363
3/29/2015,1.02,1402,58623,90,7208,476,0,conventional,2015,city,Albany,67799
3/22/2015,1.12,2142,34314,142,9253,497,0,conventional,2015,city,Albany,46348
3/15/2015,1.11,2128,30447,100,9990,381,0,conventional,2015,city,Albany,43046
3/8/2015,1.07,796,30371,159,8828,354,0,conventional,2015,city,Albany,40508
3/1/2015,0.99,629,45633,181,8986,165,0,conventional,2015,city,Albany,55594
2/22/2015,1.07,1088,35056,151,9000,379,0,conventional,2015,city,Albany,45674
2/15/2015,1.06,987,30046,222,9980,333,0,conventional,2015,city,Albany,41568
2/8/2015,0.99,1357,39112,163,10113,508,0,conventional,2015,city,Albany,51253
2/1/2015,0.99,1354,60017,179,9171,152,0,conventional,2015,city,Albany,70873
1/25/2015,1.06,941,33196,164,10103,742,0,conventional,2015,city,Albany,45146
1/18/2015,1.17,914,31540,136,11651,270,0,conventional,2015,city,Albany,44511
1/11/2015,1.24,1003,31640,127,8036,389,0,conventional,2015,city,Albany,41195
1/4/2015,1.22,2820,28287,50,9187,530,0,conventional,2015,city,Albany,40874
12/27/2015,0.99,292097,27351,298,48606,17748,0,conventional,2015,city,Atlanta,386100
12/20/2015,1.08,251774,20702,103,46930,11868,0,conventional,2015,city,Atlanta,331377
12/13/2015,0.96,324932,31019,276,38904,22628,14,conventional,2015,city,Atlanta,417773
12/6/2015,1.07,283024,23741,182,37033,13655,3,conventional,2015,city,Atlanta,357638
11/29/2015,0.99,250289,28890,308,33032,20739,24,conventional,2015,city,Atlanta,333282
11/22/2015,1,269799,29732,501,36992,19390,0,conventional,2015,city,Atlanta,356414
11/15/2015,1.13,263916,28442,456,33656,13390,0,conventional,2015,city,Atlanta,339860
11/8/2015,1.12,250441,34483,488,35663,12941,25,conventional,2015,city,Atlanta,334041
11/1/2015,0.99,290458,62980,253,39461,25929,8,conventional,2015,city,Atlanta,419089
10/25/2015,1.09,236814,64608,304,31827,24925,0,conventional,2015,city,Atlanta,358478
10/18/2015,1.09,228710,59732,291,36884,23455,0,conventional,2015,city,Atlanta,349072
10/11/2015,0.95,255933,91047,600,41160,45134,0,conventional,2015,city,Atlanta,433874
10/4/2015,0.96,265797,92780,644,14876,44585,0,conventional,2015,city,Atlanta,418682
9/27/2015,1.07,262107,61871,681,20534,25126,3,conventional,2015,city,Atlanta,370322
9/20/2015,0.93,346119,82763,1349,33698,52442,61,conventional,2015,city,Atlanta,516432
9/13/2015,1.07,278048,62486,715,46290,29679,14,conventional,2015,city,Atlanta,417232
9/6/2015,0.97,303113,73676,911,49834,44550,53,conventional,2015,city,Atlanta,472137
8/30/2015,1.15,275818,44839,1034,47138,14112,31,conventional,2015,city,Atlanta,382972
8/23/2015,1.12,274462,46224,950,45534,11884,0,conventional,2015,city,Atlanta,379054
8/16/2015,1.09,362580,41992,1425,45068,14149,0,conventional,2015,city,Atlanta,465214
8/9/2015,1.01,385028,47040,4252,45820,21568,83,conventional,2015,city,Atlanta,503791
8/2/2015,1.15,306588,41907,3515,42126,11720,42,conventional,2015,city,Atlanta,405898
7/26/2015,1.08,335372,44087,708,45114,12096,0,conventional,2015,city,Atlanta,437377
7/19/2015,0.97,446100,47838,1982,45100,16192,0,conventional,2015,city,Atlanta,557212
7/12/2015,1.14,310080,37953,867,46024,12280,0,conventional,2015,city,Atlanta,407204
7/5/2015,1.01,436378,54675,849,50685,19851,25,conventional,2015,city,Atlanta,562463
6/28/2015,1.13,331353,37699,817,52100,13108,134,conventional,2015,city,Atlanta,435211
6/21/2015,0.99,449311,30232,678,55485,19011,47,conventional,2015,city,Atlanta,554764
6/14/2015,1.1,386370,17701,472,48612,12578,71,conventional,2015,city,Atlanta,465804
6/7/2015,0.99,455566,22414,739,50955,21330,5,conventional,2015,city,Atlanta,551009
5/31/2015,1.1,382901,19543,523,40505,11200,30,conventional,2015,city,Atlanta,454702
5/24/2015,0.96,538127,27284,1261,33867,22651,22,conventional,2015,city,Atlanta,623212
5/17/2015,1.11,386401,18619,839,33710,11682,0,conventional,2015,city,Atlanta,451251
5/10/2015,1.1,413453,18861,1089,34108,12560,0,conventional,2015,city,Atlanta,480071
5/3/2015,1,538403,28568,1060,32521,33661,0,conventional,2015,city,Atlanta,634213
4/26/2015,1.12,387677,18366,1042,31315,10197,0,conventional,2015,city,Atlanta,448597
4/19/2015,1.12,368710,18041,873,29662,13681,0,conventional,2015,city,Atlanta,430967
4/12/2015,0.99,377578,22420,219,25833,25051,0,conventional,2015,city,Atlanta,451101
4/5/2015,1.04,318473,19254,375,28612,16290,135,conventional,2015,city,Atlanta,383139
3/29/2015,1.11,305029,16652,261,29314,14466,0,conventional,2015,city,Atlanta,365722
3/22/2015,1,393591,23420,305,40495,21767,13,conventional,2015,city,Atlanta,479591
3/15/2015,1.12,336172,16508,311,34912,11626,38,conventional,2015,city,Atlanta,399567
3/8/2015,1.1,361559,15789,237,33847,9394,0,conventional,2015,city,Atlanta,420826
3/1/2015,0.99,441544,21184,348,32181,17273,3,conventional,2015,city,Atlanta,512533
2/22/2015,1.1,369316,18325,237,33424,10006,0,conventional,2015,city,Atlanta,431308
2/15/2015,1.06,364447,17420,638,26728,18158,0,conventional,2015,city,Atlanta,427391
2/8/2015,1.03,377256,17162,525,18044,20896,0,conventional,2015,city,Atlanta,433883
2/1/2015,0.96,553199,31583,295,10554,41141,0,conventional,2015,city,Atlanta,636772
1/25/2015,1.1,393408,18718,594,13176,23436,0,conventional,2015,city,Atlanta,449332
1/18/2015,1.11,372237,18702,512,16783,23258,0,conventional,2015,city,Atlanta,431492
1/11/2015,1.11,330411,18958,1135,21310,25728,0,conventional,2015,city,Atlanta,397542
